id,race_id,driver_id,constructor_id,grid_position,finish_position,position_text,points,laps,status,fastest_lap_time
8513,402,101,140,1,1,1,25.0,71,Finished,1:07.847
8514,402,789,73,2,2,2,18.0,71,Finished,1:07.496
8515,402,638,169,4,3,3,15.0,71,Finished,1:07.442
8516,402,331,140,8,4,4,12.0,71,Finished,1:07.411
8517,402,665,73,3,5,5,10.0,71,Finished,1:07.486
8518,402,315,83,6,6,6,8.0,71,Finished,1:08.590
8519,402,618,77,7,7,7,6.0,70,+1 Lap,1:08.470
8520,402,562,77,9,8,8,4.0,70,+1 Lap,1:08.659
8521,402,496,212,17,9,9,2.0,70,+1 Lap,1:08.419
8522,402,735,212,18,10,10,1.0,70,+1 Lap,1:08.777
8523,402,572,170,16,11,11,0.0,70,+1 Lap,1:08.652
8524,402,784,135,13,12,12,0.0,70,+1 Lap,1:08.422
8525,402,373,170,11,13,13,0.0,70,+1 Lap,1:09.043
8526,402,807,172,20,14,14,0.0,70,+1 Lap,1:09.241
8527,402,231,172,19,15,15,0.0,69,+2 Laps,1:09.284
8528,402,421,200,14,16,16,0.0,68,+3 Laps,1:08.061
8529,402,668,200,10,17,R,0.0,44,Engine,1:09.150
8530,402,480,83,15,18,R,0.0,29,Hydraulics,1:10.402
8531,402,17,135,12,19,R,0.0,1,Collision damage,
8532,402,788,169,5,20,R,0.0,,Collision damage,
8533,403,331,140,1,1,1,25.0,51,Finished,1:30.621
8534,403,101,140,9,2,2,18.0,51,Finished,1:30.905
8535,403,665,73,2,3,3,15.0,51,Finished,1:31.517
8536,403,788,169,4,4,4,12.0,51,Finished,1:30.678
8537,403,638,169,19,5,5,10.0,51,Finished,1:31.874
8538,403,373,170,5,6,6,8.0,51,Finished,1:32.577
8539,403,789,73,3,7,7,6.0,51,Finished,1:31.872
8540,403,562,77,7,8,8,4.0,50,+1 Lap,1:33.521
8541,403,618,77,6,9,9,2.0,50,+1 Lap,1:33.504
8542,403,496,212,14,10,10,1.0,50,+1 Lap,1:33.562
8543,403,784,135,8,11,11,0.0,50,+1 Lap,1:33.464
8544,403,480,83,16,12,12,0.0,50,+1 Lap,1:32.683
8545,403,315,83,10,13,13,0.0,50,+1 Lap,1:32.290
8546,403,231,172,18,14,14,0.0,50,+1 Lap,1:33.119
8547,403,421,200,12,15,15,0.0,50,+1 Lap,1:33.594
8548,403,735,212,15,16,16,0.0,50,+1 Lap,1:33.400
8549,403,807,172,17,17,17,0.0,50,+1 Lap,1:33.342
8550,403,17,135,20,18,R,0.0,32,Power Unit,1:34.263
8551,403,668,200,13,19,R,0.0,,Collision damage,
8552,403,572,170,11,20,R,0.0,,Hydraulics,
8553,404,789,73,1,1,1,25.0,70,Finished,1:20.807
8554,404,665,73,2,2,2,18.0,70,Finished,1:20.461
8555,404,101,140,3,3,3,15.0,70,Finished,1:21.214
8556,404,331,140,4,4,4,12.0,70,Finished,1:20.818
8557,404,788,169,5,5,5,10.0,70,Finished,1:20.490
8558,404,17,135,7,6,6,8.0,70,Finished,1:20.182
8559,404,668,200,9,7,7,6.0,69,+1 Lap,1:21.871
8560,404,618,77,13,8,8,4.0,69,+1 Lap,1:22.105
